customer_key,customer_code,geography_key,customer_name,education,occupation
13,11012,257,"Walker, Lauren",Bachelors,Management
14,11013,200,"Jenkins, Ian",Bachelors,Management
15,11014,274,"Bennett, Sydney",Bachelors,Management
16,11015,47,"Young, Chloe",Partial College,Skilled Manual
17,11016,65,"Hill, Wyatt",Partial College,Skilled Manual
41,11040,281,"Murphy, Jesse",Partial College,Skilled Manual
82,11081,57,"Baker, Savannah",Bachelors,Management
83,11082,62,"Butler, Angela",Graduate Degree,Management
84,11083,69,"Cox, Alyssa",Graduate Degree,Management
88,11087,53,"Liang, Tamara",Partial College,Professional
89,11088,80,"Davis, Hunter",Bachelors,Management
90,11089,70,"Price, Abigail",Bachelors,Management
91,11090,71,"Bryant, Trevor",Partial College,Professional
128,11127,82,"Edwards, Jan",High School,Skilled Manual
129,11128,275,"Long, Samantha",High School,Skilled Manual
130,11129,277,"Wright, Julia",High School,Skilled Manual
131,11130,200,"Russell, Caroline",High School,Skilled Manual
134,11133,199,"Griffin, Angela",Partial High School,Clerical
136,11135,48,"Harris, Marcus",Partial High School,Clerical
138,11137,279,"Taylor, Jasmine",High School,Skilled Manual
139,11138,63,"Davis, Lauren",High School,Skilled Manual
141,11140,47,"Alvarez, Javier",Partial High School,Clerical
142,11141,59,"Ramirez, Nicole",High School,Skilled Manual
144,11143,67,"Henderson, Jonathan",High School,Skilled Manual
145,11144,253,"Hernandez, Edward",High School,Skilled Manual
146,11145,196,"Coleman, Jasmine",High School,Skilled Manual
153,11152,273,"Williams, James",High School,Skilled Manual
154,11153,275,"James, Angela",High School,Skilled Manual
155,11154,206,"Walker, Megan",Partial College,Skilled Manual
156,11155,47,"Robinson, Hunter",Partial College,Skilled Manual
157,11156,67,"Roberts, Maria",Partial College,Skilled Manual
158,11157,281,"Long, Hannah",High School,Skilled Manual
159,11158,82,"Wright, Jason",High School,Skilled Manual
160,11159,88,"Hughes, Brianna",High School,Skilled Manual
161,11160,57,"Tang, Maurice",Partial College,Skilled Manual
162,11161,57,"Wood, Emily",Partial College,Skilled Manual
163,11162,66,"Cox, Chase",Partial College,Skilled Manual
164,11163,85,"Wang, Gabriel",Partial College,Skilled Manual
165,11164,86,"Brooks, Devin",Partial College,Skilled Manual
166,11165,76,"Alexander, Jocelyn",Partial College,Skilled Manual
167,11166,271,"Martinez, Ashley",Partial College,Skilled Manual
168,11167,265,"Barnes, Jasmine",Bachelors,Management
169,11168,76,"Rodriguez, David",Bachelors,Management
170,11169,58,"Richardson, Bryce",Bachelors,Management
171,11170,258,"Howard, Carol",Bachelors,Management
172,11171,88,"Hill, Jonathan",Bachelors,Management
173,11172,268,"Adams, Gabrielle",Bachelors,Management
174,11173,205,"Thomas, Sarah",Graduate Degree,Management
175,11174,71,"Robinson, Nicholas",Graduate Degree,Management
176,11175,46,"Wang, Luis",Partial College,Skilled Manual
178,11177,80,"Flores, Jose",Graduate Degree,Management
179,11178,67,"Johnson, Nathan",Graduate Degree,Management
180,11179,46,"Rodriguez, Molly",Graduate Degree,Management
181,11180,53,"Anand, April",Bachelors,Management
182,11181,71,"Martin, Devin",Graduate Degree,Management
183,11182,277,"Torres, Stephanie",Bachelors,Management
184,11183,83,"Lee, Jasmine",Bachelors,Management
185,11184,57,"Hernandez, Meghan",Bachelors,Management
187,11186,77,"Price, Sarah",Bachelors,Management
188,11187,258,"Cooper, Jennifer",Graduate Degree,Management
189,11188,82,"Morris, Catherine",Graduate Degree,Management
190,11189,255,"Blanco, Lawrence",Graduate Degree,Management
191,11190,46,"Bryant, Carson",Bachelors,Management
202,11201,84,"Foster, Amanda",Bachelors,Management
203,11202,67,"Price, Alexia",Bachelors,Management
205,11204,196,"Rivera, Destiny",High School,Professional
206,11205,258,"Fernandez, Abby",High School,Professional
207,11206,268,"Flores, Blake",Partial College,Professional
208,11207,275,"Cox, Danielle",Partial College,Professional
209,11208,63,"Reed, Maria",Bachelors,Management
210,11209,69,"Evans, Allison",Bachelors,Management
211,11210,87,"Wood, Edward",Partial College,Professional
214,11213,261,"Murphy, Stephanie",Partial College,Professional
215,11214,201,"Miller, Charles",Partial College,Professional
